node,rank,title,price,rating,reviews,url
N1_E27_BULB,1,"Светодиодная лампа полного спектра 50 Вт с цоколем E27, 78 лампочек для комнатных растений, теплиц и рассады, хорошее рассеивание тепла, переменный ток 85-265 В",918 ₽,5.0,3,https://www.ozon.ru/product/svetodiodnaya-lampa-polnogo-spektra-50-vt-s-tsokolem-e27-78-lampochek-dlya-komnatnyh-2742791918/?at=QktJjvv3Pcv097PnSNVPjnLS6Bog28i5MWDp1crz7pOX
N1_E27_BULB,2,Фитолампа-трансформер для растений рассады цветов ЭРА FITO-24W-Ra90-E27-FOLD 3-х лепестковая светодиодная полный спектр E27 24 Вт бледно-розовый свет,1 790 ₽,4.9,13 597,https://www.ozon.ru/product/fitolampa-transformer-dlya-rasteniy-rassady-tsvetov-era-fito-24w-ra90-e27-fold-3-h-1641499136/?at=qQtJjYYzNc7YxX2ECXkQnMzhr1LoEmHNwQ79phwqyBKg
N1_E27_BULB,3,Фитолампа для растений и рассады светодиодная ЭРА FITO-14W-RB-E27 &#x2F; фито лампа E27 14 Вт,830 ₽,4.9,13 597,https://www.ozon.ru/product/fitolampa-dlya-rasteniy-i-rassady-svetodiodnaya-era-fito-14w-rb-e27-fito-lampa-e27-14-vt-1641499253/?at=WPtNmrrPqfpzzA0BcolVJnBFRKKEpmioVmvJlCrv8Apv
N1_E27_BULB,4,Фитолампа для растений и рассады светодиодная ЭРА FITO-18W-RB-E27 мощная E27 &#x2F; фитосветильник 18 Вт,602 ₽,4.9,13 597,https://www.ozon.ru/product/fitolampa-dlya-rasteniy-i-rassady-svetodiodnaya-era-fito-18w-rb-e27-moshchnaya-e27-fitosvetilnik-1649892542/?at=Rltyq44RWhrkM9W2c04Gg5ztGE8kVPhPM9n2inRk8WX
N1_E27_BULB,5,ANACxEGRvo-P01b5vb7i58nhIAEOgW7qD-mxCfMQZgx4yrDr-Q0tKuOaQjRWdnWT48IzzwQYeGABIcqKr5o,370 ₽,4.8,411,https://www.ozon.ru/product/fitolampa-dlya-rasteniy-polnogo-spektra-e27-203168792/?at=28t0z55R3HE8AP29hlRYoRmcBrBRANtkD7pMmh95yoov
N1_E27_BULB,6,Фитолампа для растений рассады цветов ЭРА FITO-18W-Ra90-E27 светодиодная полный спектр е27 18 Вт белый свет,3 001 ₽,4.9,13 597,https://www.ozon.ru/product/fitolampa-dlya-rasteniy-rassady-tsvetov-era-fito-18w-ra90-e27-svetodiodnaya-polnyy-spektr-e27-18-vt-1641499188/?at=83tBpNNzqhRj32zOUMxzqZkiQrLj2YS71Kopqijx0L9W
N1_E27_BULB,7,Фито лампа для цветов рассады 15 Вт растений фитолампа с цоколем Е27 фиолетовая E27 W,1 300 ₽,4.9,3 346,https://www.ozon.ru/product/fito-lampa-dlya-tsvetov-rassady-15-vt-rasteniy-fitolampa-s-tsokolem-e27-fioletovaya-e27-w-1743028876/?at=pZtp344voF9Wr40mI41vvKYC4p1x4gsA4rXWzuxvKvvV
N1_E27_BULB,8,ANACGa5OGKYrixE8gDu0GHWOOl7SIMszXHOpIYddaMF7gW1h_BDus5GYSme_uq9DNdfbH1gVSO7oIhlAQFo,894 ₽,4.8,4 189,https://www.ozon.ru/product/fitolampochka-fitolampa-svetodiodnaya-dlya-rasteniy-e27-13vt-ogonek-og-ldp43-1882476312/?at=k2toz22rBhrq34NpUA61GwMHjWN1yXtmgEVjAs4lrj1l
N1_E27_BULB,9,Фитолампа для растений светодиодная ЭРА GREEN LINE ФИТО-30W-PFR-E27-GR 3-х лепестковая полного спектра 30 Вт Е27,1 354 ₽,4.9,3 349,https://www.ozon.ru/product/fitolampa-dlya-rasteniy-svetodiodnaya-era-green-line-fito-30w-pfr-e27-gr-3-h-lepestkovaya-polnogo-1750606552/?at=nRtrN99KDcm4kprVtGJMYr2tXRkoE2hy0W88vsBPmZGy
N1_E27_BULB,10,Фитолампа для растений и рассады светодиодная ЭРА FITO-25W-Ra90-E27 полного спектра 25 Вт Е27,286 ₽,4.9,106,https://www.ozon.ru/product/fitolampa-dlya-rasteniy-i-rassady-svetodiodnaya-era-fito-25w-ra90-e27-polnogo-spektra-25-vt-e27-3116359053/?at=OgtEm110xhm4XAlrToAV9PZUEjkn47FwYDm81S4zvQ3J
